Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0,87.52362071,129.3648585,174.428342,257.1045375,390.6429361,518.7261725,691.2614348,883.376574,1114.126415,1626.692534,1350.635287,1157.027678,1053.78269,996.0168027,924.7261236
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Industry,US$2010/t CO2,0,0,87.52362071,129.3648585,174.428342,257.1045375,390.6429361,518.7261725,691.2614348,883.376574,1114.126415,1626.692534,1350.635287,1157.027678,1053.78269,996.0168027,924.7261236
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0,0,87.52362071,129.3648585,174.428342,257.1045375,390.6429361,518.7261725,691.2614348,883.376574,1114.126415,1626.692534,1350.635287,1157.027678,1053.78269,996.0168027,924.7261236
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Transportation,US$2010/t CO2,0,0,87.52362071,129.3648585,174.428342,257.1045375,390.6429361,518.7261725,691.2614348,883.376574,1114.126415,1626.692534,1350.635287,1157.027678,1053.78269,996.0168027,924.7261236
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Price|Carbon|Supply,US$2010/t CO2,0,0,87.52362071,129.3648585,174.428342,257.1045375,390.6429361,518.7261725,691.2614348,883.376574,1114.126415,1626.692534,1350.635287,1157.027678,1053.78269,996.0168027,924.7261236
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Industry,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Transportation,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Price|Carbon|Supply,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
